1,adebaba01,Bam Adebayo,2024,489,50.1,2.4560218325260665,easy
6,allenja01,Jarrett Allen,2024,486,55.1,2.5245347172791086,easy
9,anderky01,Kyle Anderson,2024,653,36.599999999999994,2.802514316420125,easy
10,antetgi01,Giannis Antetokounmpo,2024,792,109.2,4.419685039397934,easy
28,barneha02,Harrison Barnes,2024,911,55.9,3.985996778839595,easy
34,batumni01,Nicolas Batum,2024,1053,70.5,4.700008947773024,easy
36,bealbr01,Bradley Beal,2024,748,56.1,3.4334645669569896,easy
41,beverpa01,Patrick Beverley,2024,666,40.3,2.90510021477374,easy
45,biyombi01,Bismack Biyombo,2024,839,32.4,3.3704634932275694,easy
50,bogdabo02,Bojan Bogdanović,2024,719,37.599999999999994,3.043262347916188,easy
53,bookede01,Devin Booker,2024,598,44.99999999999999,2.7472977809870542,easy
60,bridgmi01,Mikal Bridges,2024,474,36.3,2.1875626342440335,easy
64,brogdma01,Malcolm Brogdon,2024,439,32.6,2.0099767358904184,easy
70,brownja02,Jaylen Brown,2024,540,35.3,2.39681460274797,easy
75,brunsja01,Jalen Brunson,2024,422,37.2,2.024463135317763,easy
78,bullore01,Reggie Bullock,2024,556,21.5,2.234037222647756,easy
79,burksal01,Alec Burks,2024,742,30.1,3.003561202604806,easy
81,butleji01,Jimmy Butler,2024,814,115.0,4.5860236220751,easy
83,caldwke01,Kentavious Caldwell-Pope,2024,835,43.69999999999999,3.534779885496717,easy
85,capelca01,Clint Capela,2024,609,66.2,3.11865604870359,easy
97,clarkjo01,Jordan Clarkson,2024,716,23.500000000000004,2.8109878310944274,easy
101,collijo01,John Collins,2024,432,36.7,2.0506800286606404,easy
103,conlemi01,Mike Conley,2024,1101,100.4,5.334511453141672,easy
104,connapa01,Pat Connaughton,2024,554,23.4,2.2571403006720936,easy
107,covinro01,Robert Covington,2024,614,31.800000000000004,2.5939692197844773,easy
109,crowdja01,Jae Crowder,2024,803,42.9,3.413090551208958,easy
112,curryse01,Seth Curry,2024,482,23.199999999999996,2.008536148918336,easy
113,curryst01,Stephen Curry,2024,956,135.4,5.391374373685694,easy
115,davisan02,Anthony Davis,2024,736,112.0,4.27287043667782,easy
119,derozde01,DeMar DeRozan,2024,1110,101.5,5.382516105969159,easy
125,dinwisp01,Spencer Dinwiddie,2024,542,32.4,2.3579634932275697,easy
127,doncilu01,Luka Dončić,2024,400,51.2,2.169935576262645,easy
132,drumman01,Andre Drummond,2024,864,75.5,4.134430923435157,easy
136,duranke01,Kevin Durant,2024,1061,170.3,6.298935218352838,easy
142,embiijo01,Joel Embiid,2024,433,63.4,2.4745615605146134,easy
147,finnedo01,Dorian Finney-Smith,2024,528,25.4,2.200000000027856,easy
153,fournev01,Evan Fournier,2024,704,30.6,2.8818897638073837,easy
154,foxde01,De'Aaron Fox,2024,469,29.59999999999999,2.0650053686749565,easy
161,gallida01,Danilo Gallinari,2024,777,65.1,3.674060486785194,easy
167,georgpa01,Paul George,2024,867,88.60000000000001,4.350957408760856,easy
168,gibsota01,Taj Gibson,2024,965,60.0,4.234654617064363,easy
