Player,Year,Games Played,Win Share
Paul George,2024,867,88.60000000000001
Taj Gibson,2024,965,60.0
Josh Giddey,2024,210,8.700000000000001
Harry Giles,2024,165,3.2
Shai Gilgeous-Alexander,2024,386,43.5
Anthony Gill,2024,179,3.7
Collin Gillespie,2024,24,0.4
Jacob Gilyard,2024,42,1.5
Rudy Gobert,2024,757,106.0
Jordan Goodwin,2024,121,3.3000000000000003
Aaron Gordon,2024,669,42.8
Eric Gordon,2024,886,41.00000000000001
Devonte' Graham,2024,336,12.700000000000001
Jerami Grant,2024,672,34.900000000000006
RaiQuan Gray,2024,4,0.30000000000000004
A.J. Green,2024,91,1.9000000000000001
Danny Green,2024,832,49.2
Draymond Green,2024,813,60.900000000000006
Jalen Green,2024,225,5.6000000000000005
Javonte Green,2024,195,8.9
Jeff Green,2024,1185,54.7
Josh Green,2024,223,7.700000000000001
AJ Griffin,2024,92,1.8000000000000003
Quentin Grimes,2024,168,7.5
Mouhamadou Gueye,2024,11,-0.4
Mouhamed Gueye,2024,6,0.2
Rui Hachimura,2024,278,11.2
Ashton Hagans,2024,21,0.0
Tyrese Haliburton,2024,260,27.1
R.J. Hampton,2024,170,0.8
Tim Hardaway Jr.,2024,736,30.200000000000003
James Harden,2024,1072,166.30000000000004
Jaden Hardy,2024,121,1.0
Ron Harper Jr.,2024,10,0.2
Gary Harris,2024,570,25.8
Joe Harris,2024,504,23.1
Kevon Harris,2024,36,0.6
Tobias Harris,2024,897,70.10000000000001
Shaquille Harrison,2024,183,4.2
Josh Hart,2024,453,27.400000000000002
Isaiah Hartenstein,2024,322,21.400000000000002
Sam Hauser,2024,185,8.9
Jordan Hawkins,2024,67,1.3
Jaxson Hayes,2024,311,16.5
Killian Hayes,2024,210,-0.40000000000000013
Gordon Hayward,2024,835,63.4
Scoot Henderson,2024,62,-1.7
Taylor Hendricks,2024,40,1.2
Tyler Herro,2024,284,12.6
Buddy Hield,2024,632,25.0
Haywood Highsmith,2024,144,4.1
Nate Hinton,2024,38,0.19999999999999998
D'Moi Hodge,2024,7,0.0
Aaron Holiday,2024,386,8.100000000000001
Jrue Holiday,2024,975,69.39999999999999
Justin Holiday,2024,680,18.7
Richaun Holmes,2024,458,28.700000000000003
Chet Holmgren,2024,82,8.9
Jalen Hood-Schifino,2024,21,-0.5
Al Horford,2024,1078,112.89999999999998
Talen Horton-Tucker,2024,247,4.9
Danuel House Jr.,2024,294,9.999999999999998
Caleb Houstan,2024,110,2.2
Jett Howard,2024,18,0.0
Kevin Huerter,2024,413,17.3
Jay Huff,2024,31,0.7
De'Andre Hunter,2024,263,7.6000000000000005
Matthew Hurt,2024,8,0.1
Bones Hyland,2024,162,3.8
Joe Ingles,2024,704,42.0
Brandon Ingram,2024,477,27.4
Kyrie Irving,2024,729,86.19999999999999
Jonathan Isaac,2024,205,10.6
