Player,Year,Games Played,Win Share, relevancy
Jae Crowder,2024,803,42.9, 3.413226399335968
Jalen Crutcher,2024,1,0.0, 0.003544939063956948
Cade Cunningham,2024,138,1.2, 0.48948803140468705
Seth Curry,2024,482,23.199999999999996, 2.008671997045346
Stephen Curry,2024,956,135.4, 5.391510221812704
Dyson Daniels,2024,120,4.2, 0.4753684895292397
Anthony Davis,2024,736,112.0, 4.27300628480483
Johnny Davis,2024,828,38.3, 3.426012727181351
JD Davison,2024,20,0.30000000000000004, 0.07304207578550312
Dexter Dennis,2024,4,0.0, 0.013772211791229675
DeMar DeRozan,2024,1110,101.5, 5.382651954096168
Moussa Diabaté,2024,33,0.7, 0.12365947020211013
Mamadi Diakite,2024,55,0.9000000000000001, 0.20180907650132274
Hamidou Diallo,2024,265,6.2, 1.0011827343395474
Gradey Dick,2024,60,0.3, 0.20940571214913947
Ousmane Dieng,2024,72,0.8, 0.25818881880626193
Spencer Dinwiddie,2024,542,32.4, 2.35809934135458
Donte DiVincenzo,2024,354,20.0, 1.5219146598943079
Luka Dončić,2024,400,51.199999999999996, 2.170071424389655
Luguentz Dort,2024,292,10.000000000000002, 1.1530707085700416
Ayo Dosunmu,2024,233,10.0, 0.9519343449336778
Jeff Dowtin,2024,46,1.0, 0.17270206146911082
Henri Drell,2024,4,0.0, 0.013772211791229675
Andre Drummond,2024,864,75.5, 4.134566771562167
Chris Duarte,2024,160,1.6, 0.5707872440031122
David Duke Jr.,2024,49,0.3, 0.17190571214913944
Kris Dunn,2024,333,7.799999999999999, 1.2581977665514301
Kevin Durant,2024,1061,170.3, 6.299071066479848
Jalen Duren,2024,128,9.3, 0.5829561774318882
Tari Eason,2024,104,3.9000000000000004, 0.4160986255349663
Anthony Edwards,2024,302,16.400000000000002, 1.2879490192357537
Kessler Edwards,2024,138,1.5, 0.49421244085350596
Keon Ellis,2024,73,2.5, 0.2883695632586599
Joel Embiid,2024,433,63.4, 2.4746974086416236
Drew Eubanks,2024,323,14.3, 1.3264690621849304
Tosan Evbuomwan,2024,17,0.5, 0.065964409357443
Dante Exum,2024,300,6.0, 1.1173513098585168
Bruno Fernando,2024,203,3.5, 0.747299412936541
Dorian Finney-Smith,2024,528,25.400000000000002, 2.2001358481548663
Adam Flagler,2024,2,0.0, 0.006954029973047857
Malachi Flynn,2024,213,2.8, 0.770366699980206
Simone Fontecchio,2024,118,2.0, 0.43390463841971927
Jordan Ford,2024,6,0.1, 0.022165196759017788
Trent Forrest,2024,151,2.1, 0.5479794415693255
Evan Fournier,2024,704,30.6, 2.882025611934394
De'Aaron Fox,2024,469,29.599999999999994, 2.0651412168019667
Javon Freeman-Liberty,2024,22,0.2, 0.07828545445407864
Alex Fudge,2024,6,0.0, 0.02059039360941149
Markelle Fultz,2024,234,8.5, 0.9317213885986741
Andrew Funk,2024,5,-0.1, 0.015606499550714284
Wenyen Gabriel,2024,150,3.8, 0.5713420042035418
Daniel Gafford,2024,321,25.299999999999997, 1.4928792268234417
Danilo Gallinari,2024,777,65.1, 3.6741963349122035
Darius Garland,2024,307,16.5, 1.3065692769308146
Usman Garuba,2024,105,2.3, 0.39431086605035637
Luka Garza,2024,85,2.3, 0.32612904786853825
