Player,Year,Games Played,Win Share, relevancy
Rodney Purvis,2018,16,-0.3, 0.050068576573615416
Tim Quarterman,2018,19,-0.1, 0.06344545560010074
Zach Randolph,2018,1116,81.29999999999998, 5.085107946652355
Xavier Rathan-Mayes,2018,5,-0.4, 0.010993773424009116
Willie Reed,2018,152,6.3, 0.6176419480839949
Ramon Sessions,2018,691,28.8, 2.809472656745412
Xavier Silas,2018,4,-0.1, 0.012309091963737107
Kyle Singler,2018,356,10.100000000000001, 1.3729390132235797
Josh Smith,2018,894,51.199999999999996, 3.8542740168026772
Marreese Speights,2018,705,25.8, 2.8099558349844957
David Stockton,2018,6,0.1, 0.02227688008113152
Julyan Stone,2018,70,1.0, 0.25463192660940637
Isaiah Taylor,2018,71,0.6, 0.25174180492007203
Marquis Teague,2018,91,-0.8999999999999999, 0.2963015758577958
Mirza Teletović,2018,324,8.799999999999999, 1.2433756631877888
Jason Terry,2018,1410,102.0, 6.413364925893586
Rashad Vaughn,2018,139,-0.6000000000000001, 0.4646623489429783
Jameel Warney,2018,3,0.1, 0.012049607353858795
Travis Wear,2018,68,-0.09999999999999998, 0.2304909101455553
James Webb III,2018,10,-0.1, 0.03276363741828256
Briante Weber,2018,45,0.7, 0.16468024443331478
David West,2018,1034,86.0, 4.879578240138397
Andrew White,2018,15,-0.1, 0.049809091963737104
Isaiah Whitehead,2018,89,-0.9, 0.289483394039614
Jacob Wiley,2018,5,0.1, 0.018867789172040614
Damien Wilkins,2018,582,12.099999999999998, 2.1748896216702507
Derrick Williams,2018,428,14.200000000000001, 1.6829604878119835
Matt Williams,2018,3,0.0, 0.010474804204252496
Jamil Wilson,2018,15,0.5, 0.0592579108613749
Jeff Withey,2018,206,6.699999999999999, 0.8080320697733291
Nate Wolters,2018,84,0.8999999999999999, 0.3007843961870728
Brandan Wright,2018,428,26.2, 1.8719368657647393
James Young,2018,95,0.8, 0.3367095930374665
Joe Young,2018,127,0.30000000000000004, 0.4379264863803441
Paul Zipser,2018,98,-0.09999999999999998, 0.3327636374182825
Alexis Ajinça,2017,293,7.600000000000001, 1.1188222403233814
Lavoy Allen,2017,388,13.799999999999999, 1.5403236719626083
Chris Andersen,2017,695,39.8, 2.9963633999511554
Alan Anderson,2017,330,7.2, 1.2386593913613198
Joel Anthony,2017,490,15.5, 1.9148225982331881
Leandro Barbosa,2017,850,37.3, 3.485402412120089
Matt Barnes,2017,929,43.0, 3.84448437346583
Brandon Bass,2017,758,42.9, 3.2599550248616778
Anthony Bennett,2017,151,0.4999999999999999, 0.5229203076104251
Ben Bentil,2017,3,-0.1, 0.00892603416733278
Rakeem Christmas,2017,30,0.5, 0.11042030761042512
Semaj Christon,2017,64,0.1, 0.22003018592109083
Norris Cole,2017,360,3.0, 1.2747903863505825
Boris Diaw,2017,1064,51.5, 4.438569913909638
Toney Douglas,2017,394,12.3, 1.5371561701730594
Mike Dunleavy,2017,1424,74.60000000000001, 6.029622168741421
Monta Ellis,2017,833,42.1, 3.503038417846646
Jordan Farmar,2017,504,13.8, 1.9357782174171538
Randy Foye,2017,752,23.5, 2.9339886683835106
Patricio Garino,2017,5,-0.2, 0.0141694128359083
Michael Gbinije,2017,9,-0.1, 0.029380579621878237
Alonzo Gee,2017,417,9.6, 1.57304557604278
Archie Goodwin,2017,165,1.2, 0.581671202384942
Justin Hamilton,2017,113,3.7, 0.4437685538523722
A.J. Hammons,2017,22,0.0, 0.07527356458966636
Justin Harper,2017,22,-0.4, 0.06897435199124116
Manny Harris,2017,93,0.09999999999999998, 0.31889382228472724
Spencer Hawes,2017,684,22.6, 2.687997258218872
Gerald Henderson,2017,1406,50.3, 5.585581367023453
Roy Hibbert,2017,662,35.7, 2.819296470817297
Jordan Hill,2017,409,16.5, 1.6544342660928875
Marcelo Huertas,2017,76,-0.2, 0.25621486738136284
Kris Humphries,2017,800,30.299999999999997, 3.2047116461931027
Pierre Jackson,2017,8,0.0, 0.027546291862393626
Dahntay Jones,2017,624,9.899999999999999, 2.283451803673417
James Jones,2017,709,25.1, 2.812594609686302
Ryan Kelly,2017,163,3.1, 0.6047742804092797
Nicolás Laprovíttola,2017,18,0.2, 0.06478680725251533
Ty Lawson,2017,551,42.10000000000001, 2.5416747814830094
David Lee,2017,829,75.90000000000002, 4.021685518777211
Shawn Long,2017,18,0.9, 0.07581042929975941
John Lucas III,2017,242,3.4000000000000004, 0.8788168716762804
Sheldon Mac,2017,30,0.5, 0.11042030761042512
K.J. McDaniels,2017,148,1.2999999999999998, 0.5252914600800027
Mike Miller,2017,1032,60.699999999999996, 4.474360894582508
Elijah Millsap,2017,69,0.4, 0.24180004991536425
Anthony Morrow,2017,564,23.1, 2.2867803648759946
Maurice Ndour,2017,32,0.4, 0.11566368627900064
Gary Neal,2017,352,10.8, 1.3703523047471466
Andrew Nicholson,2017,285,3.9000000000000004, 1.033281796515221
Steve Novak,2017,467,14.600000000000001, 1.8222402789776406
Daniel Ochefu,2017,19,0.0, 0.06504629186239363
Arinze Onuaku,2017,19,0.3, 0.06977070131121253
Lamar Patterson,2017,40,0.1, 0.13821200410290901
Paul Pierce,2017,1343,150.2, 6.944036986207419
Ronnie Price,2017,544,3.8, 1.9146615388201602
Brian Roberts,2017,314,7.4, 1.187263543115078
Thomas Robinson,2017,313,4.5, 1.1381851608674043
Sergio Rodríguez,2017,353,4.3, 1.271399190931828
Damjan Rudež,2017,146,1.5, 0.5216228845610336
Brandon Rush,2017,481,11.200000000000001, 1.816424244618299
Larry Sanders,2017,238,10.3, 0.9738419253627516
Luis Scola,2017,743,45.7, 3.2529131494142907
Kevin Séraphin,2017,423,5.8999999999999995, 1.5352324049618924
Tiago Splitter,2017,355,25.2, 1.6073512310177265
Jarnell Stokes,2017,28,0.7, 0.1067517320914559
Diamond Stone,2017,7,-0.1, 0.022562397803696416
Rodney Stuckey,2017,651,28.6, 2.66998544719525
Jared Sullinger,2017,269,15.3, 1.1582639010248845
Edy Tavares,2017,13,0.30000000000000004, 0.04931615585666707
Hollis Thompson,2017,265,6.5, 1.0060448602231666
Marcus Thornton,2017,483,19.900000000000002, 1.960250300452229
Mike Tobey,2017,2,0.0, 0.007091746407848173
Beno Udrih,2017,831,31.400000000000002, 3.32771629902059
Greivis Vásquez,2017,401,12.7, 1.5673190191351207
Sasha Vujačić,2017,581,15.9, 2.2313490835588863
C.J. Watson,2017,600,24.0, 2.423680865949724
C.J. Wilcox,2017,66,0.09999999999999998, 0.2268483677392726
Deron Williams,2017,845,77.4, 4.09985302056676
Reggie Williams,2017,805,32.49999999999999, 3.256402770029896
Kyle Wiltjer,2017,14,0.0, 0.04800083731693908
Metta World Peace,2017,991,61.1, 4.340887379908207
Stephen Zimmerman,2017,19,0.0, 0.06504629186239363
Jordan Adams,2016,32,0.4, 0.11569245731804884
Cliff Alexander,2016,8,0.0, 0.027575062901441825
Lou Amundson,2016,428,6.8999999999999995, 1.5680546620424582
James Anderson,2016,247,3.3, 0.8943162941111769
Keith Appling,2016,5,-0.1, 0.0157729870245628
Jeff Ayres,2016,237,6.3999999999999995, 0.9090442826580631
Cameron Bairstow,2016,36,-0.1, 0.12145480520638098
Andrea Bargnani,2016,550,18.8, 2.1713653277546987
DeJuan Blair,2016,424,19.0, 1.7449694795084572
Steve Blake,2016,870,29.000000000000004, 3.4229043399236323
Matt Bonner,2016,792,38.6, 3.308176351376746
Chris Bosh,2016,893,105.99999999999999, 4.713911856029574
Elton Brand,2016,1058,109.69999999999997, 5.3346795725650065
Kobe Bryant,2016,1346,172.60000000000002, 7.307048935485551
Chase Budinger,2016,407,13.799999999999999, 1.6051251702743838
Caron Butler,2016,881,50.89999999999999, 3.805286229687412
Rasual Butler,2016,809,20.900000000000002, 3.0873907393509765
Coty Clarke,2016,3,0.0, 0.010529608355987279
Chris Copeland,2016,171,2.9000000000000004, 0.6289261724218426
Bryce Cotton,2016,23,0.1, 0.08028622968741175
Jared Cunningham,2016,84,0.2, 0.28981557829156357
Branden Dawson,2016,6,0.0, 0.020756881083260004
Bryce Dejean-Jones,2016,14,0.2, 0.051179214655199874
Duje Dukan,2016,1,0.0, 0.003711426537805462
Tim Duncan,2016,1392,206.3, 7.994575778721056
Cleanthony Early,2016,56,-0.6000000000000001, 0.18176260764016763
Festus Ezeli,2016,170,5.9, 0.6727611760009408
Kevin Garnett,2016,1462,191.50000000000006, 8.000141276215686
Drew Gooden,2016,790,44.0, 3.3863975396373043
Andrew Goudelock,2016,49,0.1, 0.16892259332377538
Erick Green,2016,52,0.1, 0.17914986605104813
Jorge Gutiérrez,2016,47,0.8, 0.17312803355283765
P.J. Hairston,2016,111,0.8999999999999999, 0.39288465488426216
Jordan Hamilton,2016,151,3.0, 0.5623191573896308
Tyler Hansbrough,2016,428,20.2, 1.777503480940096
Chuck Hayes,2016,644,28.699999999999996, 2.647725385020268
J.J. Hickson,2016,534,21.8, 2.1640639676974334
Kirk Hinrich,2016,879,52.50000000000001, 3.823664898262931
Ryan Hollins,2016,518,10.499999999999998, 1.9315657572464668
Damien Inglis,2016,20,-0.1, 0.06690935066092643
Cory Jefferson,2016,58,0.9, 0.21220283670244397
Chris Johnson,2016,218,4.9, 0.8206495081412413
Orlando Johnson,2016,103,1.4, 0.37348594335956636
Chris Kaman,2016,735,24.700000000000003, 2.8949605317632887
Sergey Karasev,2016,95,0.9, 0.3383392003388076
Sasha Kaun,2016,25,0.2, 0.08867921465519989
Carl Landry,2016,513,35.800000000000004, 2.312945499551406
Devyn Marble,2016,44,-0.2, 0.14715272932950194
Kendall Marshall,2016,160,1.0000000000000002, 0.5615049125793229
Kevin Martin,2016,714,61.300000000000004, 3.399747575428285
O.J. Mayo,2016,547,21.9, 2.2099569526652214
Ray McCallum,2016,154,2.1, 0.5583732017704468
Mitch McGary,2016,52,1.3, 0.19804750384632372
Andre Miller,2016,1304,100.89999999999999, 6.034733259036016
Nazr Mohammed,2016,1005,34.3, 3.966596179580039
J.J. O'Brien,2016,2,0.0, 0.007120517446896371
Kostas Papanikolaou,2016,69,0.4, 0.24182882095441244
Nikola Peković,2016,271,18.8, 1.2202289641183353
Tibor Pleiß,2016,12,-0.1, 0.039636623388199156
Phil Pressey,2016,148,0.8, 0.5174462153710194
Pablo Prigioni,2016,270,10.399999999999999, 1.084536408642315
Tayshaun Prince,2016,1017,62.99999999999999, 4.4594737744261375
Nate Robinson,2016,618,27.9, 2.546490596187054
Robert Sacre,2016,189,2.4, 0.6824157930374476
Henry Sims,2016,135,4.6, 0.532970553237877
Donald Sloan,2016,218,4.1, 0.8080510829443909
Greg Smith,2016,673,27.8, 2.7324157930374473
Russ Smith,2016,27,-0.2, 0.0891981838749565
Alex Stepheson,2016,8,0.1, 0.029149866051048124
Amar'e Stoudemire,2016,846,92.5, 4.34108615810545
Jason Thompson,2016,588,23.8, 2.3796509397804684
Charlie Villanueva,2016,656,22.5, 2.5909966806537685
Sonny Weems,2016,183,0.10000000000000003, 0.6257407751419573
Shayne Whittington,2016,27,0.4, 0.09864700277259429
Elliot Williams,2016,109,0.7, 0.3829168667668677
Mo Williams,2016,818,40.10000000000001, 3.420434762257204
Tony Wroten,2016,145,-1.2999999999999998, 0.47414807650201446
Jeff Adrien,2015,153,4.3999999999999995, 0.5912163802179397
Furkan Aldemir,2015,41,1.4, 0.1621541039115689
Pero Antić,2015,113,2.9, 0.43123069661020885
Earl Barron,2015,140,-0.7, 0.46658323776983657
Jerrelle Benimon,2015,2,0.0, 0.007152314362535259
Sim Bhullar,2015,3,0.0, 0.010561405271626165
Carlos Boozer,2015,861,80.20000000000002, 4.198553531255879
Jabari Brown,2015,19,0.4, 0.07140607241550591
Shannon Brown,2015,408,9.299999999999999, 1.5376999163668301
Will Bynum,2015,360,6.8999999999999995, 1.3362682771399155
Nick Calathes,2015,129,2.6, 0.4810517417068445
Will Cherry,2015,8,0.0, 0.027606859817080713
Patrick Christopher,2015,4,-0.1, 0.012395693031110776
Earl Clark,2015,261,2.8, 0.934201348006057
Victor Claver,2015,80,0.20000000000000004, 0.27621101157083877
Samuel Dalembert,2015,886,51.4, 3.8302374968965367
Gigi Datome,2015,55,0.30000000000000004, 0.19255854199317235
Brandon Davies,2015,78,0.30000000000000004, 0.2709676329022632
Glen Davis,2015,514,18.6, 2.045520245643852
Andre Dawkins,2015,4,-0.1, 0.012395693031110776
Austin Daye,2015,293,4.5, 1.0700639106402734
Joey Dorsey,2015,130,2.8000000000000003, 0.487610438915148
Chris Douglas-Roberts,2015,222,5.3999999999999995, 0.8421916844412755
Zoran Dragić,2015,16,-0.1, 0.05330478394020168
Reggie Evans,2015,809,27.300000000000004, 3.1882099378414184
Landry Fields,2015,255,10.5, 1.0350066450711968
Jamaal Franklin,2015,24,0.0, 0.08215231436253524
Joel Freeland,2015,151,3.2, 0.5655005606044823
Francisco García,2015,549,18.3, 2.160114018013215
Ben Gordon,2015,744,33.4, 3.062682020876494
Drew Gordon,2015,9,-0.1, 0.029441147576565324
Danny Granger,2015,586,48.5, 2.761840932830681
Willie Green,2015,731,13.000000000000002, 2.6971039965386265
Brendan Haywood,2015,816,43.8, 3.471916093890094
Xavier Henry,2015,185,0.6000000000000001, 0.6404647696238094
Lester Hudson,2015,57,0.30000000000000004, 0.19937672381135416
Robbie Hummel,2015,98,1.9000000000000001, 0.3643463014777822
Bernard James,2015,92,1.7999999999999998, 0.3423169528736304
Grant Jerrett,2015,8,-0.1, 0.026032056667474414
Nick Johnson,2015,28,-0.1, 0.09421387484929258
Perry Jones,2015,143,1.7, 0.5146057860876605
Jerome Jordan,2015,65,1.7, 0.24869669517856963
Andrei Kirilenko,2015,797,75.39999999999999, 3.904781161892957
Alex Kirk,2015,5,0.0, 0.017379587089807986
Ognjen Kuzmić,2015,37,0.3, 0.13119490562953595
Ricky Ledo,2015,28,-0.6, 0.08633985910126109
Malcolm Lee,2015,36,0.5, 0.13093542101965766
Shawn Marion,2015,1163,124.99999999999999, 5.933610796824955
Cartier Martin,2015,243,3.8, 0.8885857431384837
Kenyon Martin,2015,757,48.400000000000006, 3.3432206751356204
Jason Maxiell,2015,618,20.3, 2.4268373537326133
Jerel McNeal,2015,6,-0.1, 0.019213874849292593
Gal Mekel,2015,35,-0.6000000000000001, 0.11020349546489745
Quincy Miller,2015,69,-0.1, 0.23398660212201983
Darius Morris,2015,132,-0.4, 0.4440349199459282
Toure' Murry,2015,56,-0.1, 0.18966842030383801
Jannero Pargo,2015,499,4.8999999999999995, 1.778635850511426
A.J. Price,2015,261,4.7, 0.9641226078485767
Miroslav Raduljica,2015,53,1.1, 0.19833878537184094
Shavlik Randolph,2015,146,2.3, 0.5342818777125711
Glen Rice Jr.,2015,16,-0.2, 0.05172998079059538
Jason Richardson,2015,857,59.10000000000001, 3.8526337030525855
Luke Ridnour,2015,830,36.1, 3.398383524097682
John Salmons,2015,895,33.9, 3.585328763897252
Alexey Shved,2015,182,3.2, 0.6711823787863005
Greg Stiemsma,2015,203,6.0, 0.786867776066186
Jeff Taylor,2015,188,1.0999999999999999, 0.6585660580991136
Sebastian Telfair,2015,564,4.8999999999999995, 2.000226759602335
Malcolm Thomas,2015,40,0.1, 0.1382725720575961
Tyrus Thomas,2015,402,12.900000000000002, 1.5739382842981116
Ronny Turiaf,2015,473,19.3, 1.9167711404183694
Hedo Türkoğlu,2015,997,63.300000000000004, 4.3960481626087775
Henry Walker,2015,181,4.9, 0.6945449414205166
Gerald Wallace,2015,832,59.5, 3.773705642923738
David Wear,2015,2,0.0, 0.007152314362535259
Martell Webster,2015,580,24.7, 2.3665832377698366
Shawne Williams,2015,314,6.8, 1.1778752921721274
Dorell Wright,2015,549,25.999999999999996, 2.2813738605329
Ray Allen,2014,1300,145.20000000000002, 6.718801628617331
Hilton Armstrong,2014,292,3.9000000000000004, 1.0572411418599932
Gustavo Ayón,2014,135,5.1, 0.540911506927996
Chris Babb,2014,14,0.0, 0.04809654629807476
Shane Battier,2014,977,75.7, 4.523177076004589
Andris Biedriņš,2014,516,30.799999999999997, 2.2444995527404514
Chauncey Billups,2014,1043,120.69999999999997, 5.456838493327422
Andray Blatche,2014,564,19.300000000000004, 2.2270335541720905
Keith Bogans,2014,671,20.500000000000004, 2.6107039192400934
Ronnie Brewer,2014,502,30.400000000000002, 2.1904730674147532
Andrew Bynum,2014,418,37.400000000000006, 2.0143456515235583
Josh Childress,2014,391,25.799999999999997, 1.7396230316237729
Dionte Christmas,2014,31,0.3, 0.11077550120143913
Jason Collins,2014,735,20.2, 2.8241613279730924
Nando De Colo,2014,119,2.3, 0.4422715641935651
Shane Edwards,2014,2,0.0, 0.007187455388983862
Melvin Ely,2014,375,3.8, 1.3386208841649325
Vítor Luiz Faverani,2014,37,0.3, 0.13123004665598456
Carrick Felix,2014,7,0.0, 0.024232909934438406
Derek Fisher,2014,1287,62.300000000000004, 5.368971635775527
Diante Garrett,2014,90,-1.0, 0.2914394238929208
Ryan Gomes,2014,487,19.3, 1.9645335541720905
Aaron Gray,2014,318,6.1, 1.1805231747876954
Josh Harrellson,2014,75,2.0999999999999996, 0.28912195789435247
Al Harrington,2014,981,42.6, 4.015553597121267
Elias Harris,2014,2,0.0, 0.007187455388983862
Mike Harris,2014,54,0.9, 0.1986334110081678
Royal Ivey,2014,492,4.6, 1.750082945725419
Stephen Jackson,2014,858,35.99999999999999, 3.4922984074290695
Damion James,2014,39,-0.1, 0.13174901587574117
Antawn Jamison,2014,1083,87.9, 5.076666696620193
Othyus Jeffers,2014,37,0.8999999999999999, 0.14067886555362238
Darius Johnson-Odom,2014,7,-0.30000000000000004, 0.019508500485619508
Solomon Jones,2014,281,5.0, 1.0370639765056626
Viacheslav Kravtsov,2014,45,0.4, 0.16007757707831816
Doron Lamb,2014,100,0.09999999999999998, 0.34285316762949924
Rashard Lewis,2014,1049,90.89999999999999, 5.008001700199291
Roger Mason,2014,518,12.9, 1.9694279707791056
Eric Maynor,2014,267,3.3, 0.9625650502350827
Tony Mitchell,2014,24,0.30000000000000004, 0.08691186483780275
Arnett Moultrie,2014,59,1.7, 0.22827729075047276
Byron Mullens,2014,189,0.5000000000000001, 0.6525614711370155
Erik Murphy,2014,24,-0.1, 0.08061265223937755
Hamady N'Diaye,2014,33,0.1, 0.11444407672040834
Steve Nash,2014,1217,130.0, 6.1964770044226265
Nemanja Nedović,2014,24,-0.4, 0.07588824279055865
Jermaine O'Neal,2014,1011,66.10000000000001, 4.487905064551474
Greg Oden,2014,105,7.3, 0.47328444894660726
Daniel Orton,2014,51,1.1, 0.1915557445801077
Travis Outlaw,2014,622,16.400000000000002, 2.379091535560781
Dexter Pittman,2014,50,0.4, 0.17712303162377271
Josh Powell,2014,316,2.5, 1.1170120795836866
Anthony Randolph,2014,252,5.800000000000001, 0.9507987653388765
Mustafa Shakur,2014,25,-0.5, 0.07772253055004329
Tornike Shengelia,2014,45,-0.1, 0.15220356133028665
Chris Singleton,2014,148,2.2, 0.5395603974075952
Peyton Siva,2014,24,-0.2, 0.07903784908977125
Chris Smith,2014,226,3.2, 0.8212175198127492
James Southerland,2014,4,0.0, 0.01400563720716568
Tyshawn Taylor,2014,61,-1.0, 0.19257578752928453
Hasheem Thabeet,2014,224,4.8, 0.839596188388268
Adonis Thomas,2014,6,0.0, 0.020823819025347495
Jamaal Tinsley,2014,547,17.3, 2.137582945725419
Jeremy Tyler,2014,104,0.2, 0.3580643344154692
Jarvis Varnado,2014,37,0.7000000000000001, 0.13752925925440979
Jan Veselý,2014,162,4.0, 0.6156341268277813
Casper Ware,2014,9,0.2, 0.034200698051832824
Earl Watson,2014,878,19.200000000000003, 3.2959132964770292
Maalik Wayns,2014,29,-0.19999999999999998, 0.09608330363522581
D.J. White,2014,138,3.8, 0.5306663387103868
Royce White,2014,3,0.0, 0.01059654629807477
Chris Wright,2014,35,0.8999999999999999, 0.13386068373544055
Josh Akognon,2013,3,0.0, 0.010635383138537093
Rodrigue Beaubois,2013,182,4.800000000000001, 0.6964532070469122
Kwame Brown,2013,607,20.7, 2.39571054419795
Marcus Camby,2013,973,81.50000000000001, 4.600918131885853
Matt Carroll,2013,459,10.899999999999999, 1.7368343809910782
Will Conroy,2013,16,-0.4, 0.04865435235829371
Daequan Cook,2013,328,4.9, 1.1957552829237912
Eddy Curry,2013,527,21.8, 2.1403061061163466
Marquis Daniels,2013,548,16.6, 2.1300072514277284
Carlos Delfino,2013,507,22.599999999999998, 2.084722713131379
Justin Dentmon,2013,8,-0.1, 0.02610603453438534
DeSagana Diop,2013,601,12.799999999999999, 2.250846549924507
Keyon Dooling,2013,728,18.5, 2.7735648749066115
Chris Duhon,2013,606,25.0, 2.4600179887219302
Devin Ebanks,2013,63,0.6, 0.22462965658162945
Kim English,2013,41,0.2, 0.14333044398320424
Mickaël Gelabale,2013,145,3.0, 0.5419703867176351
Daniel Gibson,2013,397,15.9, 1.6042109021077569
Hamed Haddadi,2013,151,1.6999999999999997, 0.5419524912272987
Richard Hamilton,2013,921,62.7, 4.127582412487142
Ben Hansbrough,2013,28,0.2, 0.09901226216502242
Terrel Harris,2013,42,-0.5, 0.13571591284505108
Lazar Hayward,2013,72,0.3, 0.2505870653146287
Cory Higgins,2013,44,-1.3, 0.12993566946638246
Grant Hill,2013,1026,99.9, 5.07136372959523
Tyler Honeycutt,2013,24,-0.1, 0.08065148907983988
Josh Howard,2013,507,37.9, 2.3256675950211427
Juwan Howard,2013,1208,59.4, 5.0540229994592245
Jared Jeffries,2013,629,13.3, 2.3541751111270837
Charles Jenkins,2013,110,0.5, 0.38328212615929586
Ivan Johnson,2013,125,4.5, 0.49741061577991147
DeQuan Jones,2013,63,0.1, 0.21675564083359797
Dominique Jones,2013,80,0.2, 0.2762849894377497
Kevin Jones,2013,32,0.2, 0.11264862580138606
Kris Joseph,2013,10,-0.1, 0.032924216352567155
Jason Kidd,2013,1391,138.7, 6.926705533460656
Linas Kleiza,2013,409,13.600000000000001, 1.608899520575903
Corey Maggette,2013,827,62.2, 3.7992538512845644
Dominic McGuire,2013,342,4.2, 1.2324589336038196
Fab Melo,2013,6,0.0, 0.02086265586580982
Darko Miličić,2013,468,6.999999999999999, 1.7060988763382507
Kevin Murphy,2013,17,-0.3, 0.05363824641699092
Troy Murphy,2013,729,50.19999999999999, 3.276186564240899
Lamar Odom,2013,961,77.00000000000003, 4.489142899244479
Tim Ohlbrecht,2013,3,-0.1, 0.009060579988930794
Sasha Pavlović,2013,567,6.8, 2.040449270039038
Johan Petro,2013,473,5.6, 1.701097086789217
Mickaël Piétrus,2013,557,19.7, 2.2095079672473417
Joel Przybilla,2013,592,23.100000000000005, 2.3823694561521376
Chris Quinn,2013,241,5.3, 0.9054635864313073
Vladimir Radmanović,2013,737,26.5, 2.9302309450569335
Quentin Richardson,2013,783,32.699999999999996, 3.184686922150706
Brandon Roy,2013,326,37.5, 1.702322927877263
Samardo Samuels,2013,109,0.6, 0.38144783839981117
Josh Selby,2013,38,-0.7, 0.11892994290947483
Nolan Smith,2013,84,-0.8, 0.27417332157805036
Jerry Stackhouse,2013,970,52.400000000000006, 4.132423142623147
DeShawn Stevenson,2013,824,12.3, 3.003199806903748
DaJuan Summers,2013,83,-0.09999999999999998, 0.28178785271620355
Kurt Thomas,2013,1110,64.39999999999999, 4.7986722478486294
Rasheed Wallace,2013,1109,105.1, 5.436208038829303
Luke Walton,2013,564,13.6, 2.1373086114849937
Hakim Warrick,2013,526,20.400000000000002, 2.114849771112768
James White,2013,67,0.8, 0.24141562651720566
Chris Wilcox,2013,628,26.8, 2.5633644454148437
Terrence Williams,2013,153,-0.3, 0.5172746100533544
Sam Young,2013,249,5.2, 0.9311615105544283
Luke Zeller,2013,16,-0.1, 0.05337876180711261
Blake Ahearn,2012,19,-0.1, 0.06364895588101424
Solomon Alabi,2012,26,0.0, 0.0890873953942569
Morris Almond,2012,38,0.0, 0.1299964863033478
Gilbert Arenas,2012,552,51.2, 2.6885684261745
Kelenna Azubuike,2012,208,9.299999999999999, 0.8559986337621882
Renaldo Balkman,2012,221,7.1, 0.8656711462890313
Tony Battie,2012,837,36.599999999999994, 3.43023807542289
Raja Bell,2012,706,32.599999999999994, 2.9206550403477287
Keith Benson,2012,3,0.0, 0.010678304485165997
Mike Bibby,2012,1001,73.19999999999999, 4.565706937269704
Earl Boykins,2012,652,26.2, 2.635776729682016
Craig Brackins,2012,17,-0.2, 0.05525597091322613
Jon Brockman,2012,150,3.7, 0.5700823846569627
Derrick Brown,2012,171,4.6, 0.6558465220943285
Derrick Byars,2012,2,0.1, 0.00884401672568139
Brian Cardinal,2012,456,15.399999999999999, 1.7975161713427177
Anthony Carter,2012,623,10.5, 2.289668998830191
Brian Cook,2012,421,10.1, 1.5947334225954022
Erick Dampier,2012,987,52.599999999999994, 4.1935702157235335
Baron Davis,2012,835,63.19999999999999, 3.842317531399983
Josh Davis,2012,67,0.8, 0.24145854786383456
Eric Dawson,2012,4,0.1, 0.015662198543863207
Ike Diogu,2012,225,6.5, 0.8698586910277573
Jerome Dyson,2012,9,0.1, 0.03270765308931776
Francisco Elson,2012,472,11.8, 1.7953687125023454
Andre Emmett,2012,14,0.1, 0.049753107634772295
Semih Erden,2012,69,1.7999999999999998, 0.2640247611780794
Maurice Evans,2012,562,21.8, 2.2596672092811576
Christian Eyenga,2012,51,-0.4, 0.16801545552310443
Rudy Fernández,2012,249,14.1, 1.0713619122160178
Kyrylo Fesenko,2012,135,0.8999999999999999, 0.4748515328316227
Jonny Flynn,2012,163,-1.0999999999999999, 0.5388100152940422
Jeff Foote,2012,4,-0.1, 0.012512592244650608
Gary Forbes,2012,111,1.7000000000000002, 0.4056317762102913
T.J. Ford,2012,429,16.9, 1.7290927640413576
Courtney Fortson,2012,10,0.0, 0.03454194084880236
Jeff Foster,2012,764,47.500000000000014, 3.3530279823663403
Dan Gadzuric,2012,527,15.899999999999999, 2.047435641636204
Sundiata Gaines,2012,113,1.4, 0.40772554857965426
Mickell Gladness,2012,26,0.2, 0.0922370016934695
Donté Greene,2012,253,1.6, 0.888147882151594
Luke Harangody,2012,70,0.8, 0.25168582059110733
Darington Hobson,2012,5,-0.2, 0.014346880004135218
Dennis Horner,2012,8,0.0, 0.02772375903062054
Larry Hughes,2012,727,32.1, 2.9843719336906065
Yi Jianlian,2012,272,3.1000000000000005, 0.9765426566684158
Armon Johnson,2012,47,-0.19999999999999998, 0.1575286981859534
Carldell Johnson,2012,15,0.0, 0.051587395394256906
JaJuan Johnson,2012,36,0.2, 0.1263279107843786
Trey Johnson,2012,23,0.0, 0.07886012266698417
Jason Kapono,2012,509,10.3, 1.8978830288946147
D.J. Kennedy,2012,2,0.0, 0.00726921357607509
Travis Leslie,2012,10,0.1, 0.03611674399840866
Vernon Macklin,2012,23,0.5, 0.08673413841501566
Jamaal Magloire,2012,680,27.7, 2.7548533223806566
Tracy McGrady,2012,938,97.3, 4.730461769052095
Brad Miller,2012,868,76.4, 4.1626915471480155
Jamario Moon,2012,286,14.3, 1.200647882151594
Mikki Moore,2012,564,22.6, 2.2790838162961897
Eduardo Nájera,2012,619,24.7, 2.4996546824379218
Andrés Nocioni,2012,514,21.8, 2.0960308456447936
Mehmet Okur,2012,634,54.699999999999996, 3.023231990956175
Larry Owens,2012,19,0.30000000000000004, 0.06994816847943944
Anthony Parker,2012,494,24.5, 2.0703687125023453
Michael Redd,2012,629,55.8, 3.02350937105639
Ryan Reid,2012,5,0.1, 0.019071289452954113
Walker Russell,2012,183,-1.1, 0.6069918334758604
Brian Scalabrine,2012,520,7.500000000000001, 1.8912885407056383
Bobby Simmons,2012,466,20.2, 1.9071976316147292
James Singleton,2012,243,8.1, 0.9564191777850944
Brian Skinner,2012,608,15.700000000000001, 2.320422398973355
Craig Smith,2012,403,16.0, 1.6262831720585373
